mt1 mt2 fin lab hw  Att.
 70  55  45  92  93   67
 52  77  43  88  13   34
 51  59  41  87  81   92
 85  52  53  79  79   48
 56  67  61  89  36   69
 50  74  34  87  94   74
 33  62  39  90  13   77
 90  89  72  93  89  100
 79  68  41  89  43   69
 80  89  63  91  90   54
 70  49   0  87  69   28
 18  14  19  76 6.2   15
 46  30  43  86  24   26
 48  68  53  92  94   56
 66  51  70  88  61  100
 45  61  49  91  74   63
 76  58  45  80  20   34
 95  67  86  50   0   48
 66  33  26  79  80   44
 65  26  43  89  61   54
 71  80  46  91  87   56
 36   9  20  83  41   63
 64  22  36  82  43   69
 68  72  70  86  88   42
 78  16  12  82  63   54
 29  62  52  79  43   48
 82  68  45  83  90  100
 53  56   0  79 1.6   30
 65  77  79  90  84   63
 66  63  56  86  88   54
 57  64  30  89  11   69
 37  84  62  90  95  100
 81  37   0  84  50   48
 21  21  19  85  77   54
  7  65  43  89  46   88
 72  68  46  86  38   42
 70  21  31  88  34    0
 67  43  22  84  54   44
  6  57  50  87   0   54
 85  71  62  86  56   56
 51  51  24  84 2.3    8
 79  63  42  84  57   74
 70  82  45  86  58   69
 51  40  29  83  81   81
 49  38  43  87  90   48
 78  59  42  86  57   85
 31  41  45  86  64   96
 59  60  52  90 1.7   85
 65  44  49  87  55   31
 68  46  23  89  35   30
 66  18  11  83  75   50
 58  63   0  77   0    0
 45  72  70  88  71   23
 10  57  36  88  46   85
 32  38  16  85  13    0
 91  46  24  82  86   88
 68  45  41  69  42   19
 40  48  49  85  75   96
 52  84  77  92  93   56
 76  21  49  94  96   64
 42  63  47  90  57   52
 71  75  57  87  94   59
 32  35  40  85  74   72
 90  57  54  93  82   93
 55  51  57  86  85  100
 74  55  56  86  88   96
 69  88  67  91  60   54
 42  15  35  87  75   56
 74  61  44  85  73  100
 63  66  43  88  57   54
 85  84  84  93  85   46
 54  56  54  85  70  100
 45  58  57  90  57  100
 43   3   0  86   0   24
  0  63  49  86  62   42
 84  48  23  95  53   93
 49   5   2  83  32   67
 89  60  94  91   0   38
 19  56  39  93  69   92
 49  83  65  91  80   48
 77  62  11  85  58   77
 81  60  34  91  88   28
 15  76  57  90  76   85
  0  50  61  86  59   62
 62  92  73  94  95   85
  0  75  48  85   0   77
 64  81  48  90  66   63
 86  23  19  74   0   31
 76  67  78  77   0    0
 68  31  47  89 6.8   19
 90  19   0  86   0    4
  0  85  49  90  23   48
 41  58  51  93  23   85
 66   3  13  86  54   40
 63  68  66  89  68   81
 59  74  37  96  54   52
 34  64  75  86  72   56
 68  48  58  85  20   28
  0  47  48  86 3.1    2
 11  37  43  77  55   66
